年份,月份,类型,成员单位,交易对象,交易金额,企业类型,社会信用代码
2024,1,Customer,物产中大化工集团有限公司,万向三农集团有限公司,157712450,企业,91330109704789089Q
2024,1,Customer,物产中大乾睿能源化工（浙江）有限公司,上期资本管理有限公司,4533000,企业,913100003208049056
2024,1,Customer,物产中大化工集团有限公司,上海易塑贸易有限公司,3702560,企业,91310116MA1J800N8C
2024,1,Customer,物产中大化工集团有限公司,上海楷烨粮油贸易有限公司,4647450.04,企业,91310115MA1H8UXY8B
2024,1,Customer,浙江物产化工集团宁波有限公司,上海汇金祥化工贸易有限公司,13513000,企业,91310117MACB5QD69F
2024,1,Customer,物产中大化工集团有限公司,上海沐昊国际贸易有限公司,183327.3,企业,91310115351095072J
2024,1,Customer,浙江物产化工集团宁波有限公司,中国石油化工股份有限公司茂名分公司,72729956.34,企业,91440900722484553D
2024,1,Customer,物产中大乾睿能源化工（浙江）有限公司,中基石化有限公司,3765000,企业,91330212MA2AJ20C70
2024,1,Customer,物产中大化工集团有限公司,中基石化有限公司,4325500,企业,91330212MA2AJ20C70
2024,1,Customer,物产中大（海南）发展有限公司,兴业银期商品贸易有限公司,7519820,企业,91310101MA1FP7UA0P
2024,1,Customer,浙江物产化工集团宁波有限公司,南京玛茂化工有限公司,97889366.62,企业,320112302600036
2024,1,Customer,物产中大嘉悦（浙江）能源有限公司,南通化工轻工股份有限公司,3630000,企业,913206001382908562
2024,1,Customer,物产中大（海南）发展有限公司,南通化工轻工股份有限公司,16168160,企业,913206001382908562
2024,1,Customer,浙江物产化工集团宁波有限公司,卫星化学股份有限公司,1996512,企业,9133000077826404X2
2024,1,Customer,浙江物产化工集团宁波有限公司,台州市好迪机电配件有限公司,5737393.47,企业,913310027441238985
2024,1,Customer,浙江物产经编供应链有限公司,嘉兴凝鑫科技新材料有限公司,4552038.46,企业,91330421670276049F
2024,1,Customer,物产化工（浙江自贸区）有限公司,四川天原鑫华供应链科技有限公司,8816000,企业,915115007918130235
2024,1,Customer,物产中大化工集团有限公司,国信金阳资本管理有限公司,2781176.18,企业,91310109MA1G5FQ90A
2024,1,Customer,物产中大欧泰有限公司,宁夏隆赢能源有限公司,41671574.2,企业,91640100MA772W2M7J
2024,1,Customer,浙江物产化工集团宁波有限公司,宁波德瑞化工有限公司,400294,企业,913302125915582596
2024,1,Customer,物产中大嘉悦（浙江）能源有限公司,宁波杉杉能化有限公司,13345000,企业,91330201316904321G
2024,1,Customer,物产中大化工集团有限公司,宁波泽高饲料有限公司,34290000,企业,91330211MA292XGD85
2024,1,Customer,物产中大乾睿能源化工（浙江）有限公司,宁波海天同创实业有限公司,4315000,企业,91330206MA2CMU978C
2024,1,Customer,物产中大化工集团有限公司,宁波海天同创实业有限公司,438944,企业,91330206MA2CMU978C
2024,1,Customer,物产中大乾睿能源化工（浙江）有限公司,宁波禾元控股有限公司,32411836.68,企业,91330206066644984R
2024,1,Customer,物产中大化工集团有限公司,宁波禾元控股有限公司,9776958.33,企业,91330206066644984R
2024,1,Customer,物产化工（浙江自贸区）有限公司,宁波禾元控股有限公司,2556358,企业,91330206066644984R
2024,1,Customer,物产中大化工集团有限公司,富邦资源控股集团有限公司,50420240.34,企业,91330201MA7J3HGD8W
2024,1,Customer,舟山聚能能源有限公司,山东众宁橡胶科技有限公司,560000,企业,91370785MACBWAHF1T
2024,1,Customer,宁波凯优国际贸易有限公司,山西潞宝集团焦化有限公司,12336055,企业,91140000110901459E
2024,1,Customer,物产中大化工集团有限公司,山西鸿盛皓商贸有限公司,697800,企业,91141000MA0GUJEN49
2024,1,Customer,物产中大乾睿能源化工（浙江）有限公司,常州塑来贸易有限公司,4535000,企业,91320411MA1TC9Y950
2024,1,Customer,物产化工（浙江自贸区）有限公司,常州塑来贸易有限公司,8682000,企业,91320411MA1TC9Y950
2024,1,Customer,浙江物产经编供应链有限公司,常熟榕之乐新材料有限公司,718499.56,企业,91320581MA1WAWBC81
2024,1,Customer,宁波凯优国际贸易有限公司,广东粤泰化工有限公司,1050000,企业,914452007361662815
2024,1,Customer,浙江物产春达化工有限公司,广东粤泰化工有限公司,700300,企业,914452007361662815
2024,1,Customer,浙江物产氯碱化工有限公司,广东金和化工有限公司,1629177.5,企业,91440115093120107E
2024,1,Customer,物产中大化工集团有限公司,广东金和化工有限公司,1577098.62,企业,91440115093120107E
