实体ID,实体名称,实体类型,入度,出度,PageRank,说明
qd11eb37fb5ddcee6a34b120964779263,物产中大化工集团有限公司,成员单位,2184,2568,0.03469837610560169,该实体在网络中的重要性排名靠前，有2184个入连接和2568个出连接
q95a15009e2820d75554e55a6868cd004,吉富创业投资股份有限公司,股东,2078,2,0.01761537596383409,该实体在网络中的重要性排名靠前，有2078个入连接和2个出连接
浙江物产化工集团宁波有限公司,浙江物产化工集团宁波有限公司,成员单位,1247,1289,0.03880180262847505,该实体在网络中的重要性排名靠前，有1247个入连接和1289个出连接
q7e6625b028f1a96843c4d20d62f71014,物产中大欧泰有限公司,成员单位,1067,887,0.012205801809351137,该实体在网络中的重要性排名靠前，有1067个入连接和887个出连接
物产化工（浙江自贸区）有限公司,物产化工（浙江自贸区）有限公司,成员单位,1020,1196,0.017833680412417167,该实体在网络中的重要性排名靠前，有1020个入连接和1196个出连接
qdaaad424f28811ebbedb00163e0ee983,物产中大（海南）发展有限公司,成员单位,922,1109,0.017615825238393147,该实体在网络中的重要性排名靠前，有922个入连接和1109个出连接
舟山聚能能源有限公司,舟山聚能能源有限公司,成员单位,786,79,0.006111296222549625,该实体在网络中的重要性排名靠前，有786个入连接和79个出连接
q3a3651f20c7728789d721ddb5d6a8afe,浙江省粮油食品进出口股份有限公司,partner,541,7,0.0046687304329164105,该实体在网络中的重要性排名靠前，有541个入连接和7个出连接
物产中大乾睿能源化工（浙江）有限公司,物产中大乾睿能源化工（浙江）有限公司,成员单位,514,677,0.0077551901046116955,该实体在网络中的重要性排名靠前，有514个入连接和677个出连接
物产中大嘉悦（浙江）能源有限公司,物产中大嘉悦（浙江）能源有限公司,成员单位,497,703,0.007777189079216388,该实体在网络中的重要性排名靠前，有497个入连接和703个出连接
浙江物产经编供应链有限公司,浙江物产经编供应链有限公司,成员单位,308,808,0.0057310908631329266,该实体在网络中主动连接其他实体能力强，有308个入连接和808个出连接
浙江物产氯碱化工有限公司,浙江物产氯碱化工有限公司,成员单位,270,384,0.00372162533935533,该实体在网络中主动连接其他实体能力强，有270个入连接和384个出连接
浙江物产春达化工有限公司,浙江物产春达化工有限公司,成员单位,6,282,6.0021325446669675e-05,该实体在网络中主动连接其他实体能力强，有6个入连接和282个出连接
